Activities,,,,,,,,,,,,,,
Start,,,,,,,,,,,,,,
Project ID,CTO.PG.Workpack Number,Project Name,Activity ID,Activity Name,BL Project Start,BL Project Finish,Original Duration,Start,Finish,Remaining Duration,At Completion Duration,Physical % Complete,Total Float,CTO.PG.PPC Planner
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25280,Asset Guardian Licences and Support 2025 - 2026,28-May-25,28-May-25,1,28-May-25*,28-May-25,1,1,0%,1673,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.1220,HYB Enhanced Defueling Rate: Lessons Learned Milestone - NSRS Approval,,19-Dec-24,0,,28-May-25,0,0,0%,247,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.4080,TOR 2025 Issue Complete LSR,,28-May-25,0,,28-May-25,0,0,0%,1929,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.1220,TOR Enhanced Defueling Rate: Lessons Learned Milestone - NSRS Approval,,19-Dec-24,0,,28-May-25,0,0,0%,247,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25120,TGN097 R2 - Inspection,30-May-25,05-Jun-25,5,30-May-25*,05-Jun-25,5,5,0%,1349,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.3180,HYB 2025 Issue Recommendations,30-May-25,30-May-25,1,30-May-25,30-May-25,1,1,0%,1901,OGAH Alima
    ER7579LT,W193,HNB DPCS Defueling Support,W193.25340,Revised Costs Provided,30-May-25,10-Jul-25,30,30-May-25,10-Jul-25,30,30,0%,31,OGAH Alima
 Subtotal,,,,,08-Aug-24,10-Jul-25,70,01-May-25,11-Aug-25,70,70,,1876,OGAH Alima
 01-Jun-25,,,,,,,,,,,,,,
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS21670,Approve Flask LTQRs (Reduce Duration),24-Oct-24,06-Nov-24,10,02-Jun-25,13-Jun-25,10,10,0%,7,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.3190,HYB 2025 Recommendations Workshop,02-Jun-25,02-Jun-25,1,02-Jun-25,02-Jun-25,1,1,0%,1901,OGAH Alima
    W157LT,W157,HYB Security,W157.2700,Draft List of Security changes and proposed MSI Categories,03-Jun-25,16-Jun-25,10,03-Jun-25,16-Jun-25,10,10,0%,393,OGAH Alima
    W157LT,W157,HYB Security,W157.2520,Site SQEP verification and INA review of SPPI File,03-Jun-25,16-Jun-25,10,03-Jun-25,16-Jun-25,10,10,0%,383,OGAH Alima
    W157LT,W157,HYB Security,W157.1950,Undertake Security Vulnerability Assessments on changes to existing and new SPP V1,03-Jun-25,23-Jun-25,15,03-Jun-25,23-Jun-25,15,15,0%,293,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.3200,"HYB 2025 LSR Update, Internal Review & Issue to EDF",03-Jun-25,16-Jun-25,10,03-Jun-25,16-Jun-25,10,10,0%,1901,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS1030,Transport of First 6 Refurbished Flasks,09-Dec-24,05-Mar-25,60,04-Jun-25,27-Aug-25,60,60,0%,11,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2780,HRA 2025 TGN097 R2 - Inspection Complete,,05-Jun-25,0,,05-Jun-25,0,0,0%,1414,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25150,"TGN097 R2 - Draft Report Produced, Internal Review and Issue to EDF",06-Jun-25,03-Jul-25,20,06-Jun-25,03-Jul-25,20,20,0%,1349,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.1075,HRA 2024  - Installation R1,10-Jun-25,30-Jun-25,15,10-Jun-25*,30-Jun-25,15,15,0%,1397,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.6220,HYA 2024  - Installation R1,10-Jun-25,30-Jun-25,15,10-Jun-25*,30-Jun-25,15,15,0%,1397,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.1790,Lid Bolting Exercise (PROVISIONAL),14-Nov-24,09-Dec-24,1,10-Jun-25*,26-Jun-25,13,13,0%,28,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.M1030,Flask 10 - LTQR Approval,,06-Nov-24,0,,13-Jun-25,0,0,0%,63,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS22680,Produce Flask LTQRs (Reduced Duration),07-Nov-24,20-Nov-24,10,16-Jun-25,27-Jun-25,10,10,0%,7,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS20580,Generate Rebuild Report,15-Nov-24,20-Nov-24,5,17-Jun-25,20-Jun-25,4,4,0%,0,OGAH Alima
    W157LT,W157,HYB Security,W157.2530,Revision of SPPI File Folliowing INA Review V1,17-Jun-25,23-Jun-25,5,17-Jun-25,23-Jun-25,5,5,0%,383,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25440,"LSR Data Export, Analysis, Draft Report",17-Jun-25,07-Jul-25,15,17-Jun-25,07-Jul-25,15,15,0%,1360,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.3210,HYB 2025 EDF Review,17-Jun-25,30-Jun-25,10,17-Jun-25,30-Jun-25,10,10,0%,1901,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.1100,HYB Enhanced Defueling Rate: Optioneering Complete (Outline Safety Case / ALARP Strategy),,16-Jan-25,0,,20-Jun-25,0,0,0%,71,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.1100,TOR Enhanced Defueling Rate: Optioneering Complete (Outline Safety Case / ALARP Strategy),,16-Jan-25,0,,20-Jun-25,0,0,0%,71,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS20630,Verify Testing and Approve Report (EDF),21-Nov-24,27-Nov-24,5,23-Jun-25,27-Jun-25,5,5,0%,0,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.2500,## HYB Low Decay Heat: A - D Phase Funding - (Cost Summary) ##,15-Nov-24,07-Apr-25,99,23-Jun-25,07-Nov-25,99,99,0%,113,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.2630,HYB Low Decay Heat: Strategy Development & Produce MF EC NNNNN & Obtain Approval,15-Nov-24,02-Dec-24,12,23-Jun-25,08-Jul-25,12,12,0%,12,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.2500,## TOR Low Decay Heat: A - D Phase Funding - (Cost Summary) ##,15-Nov-24,07-Apr-25,99,23-Jun-25,07-Nov-25,99,99,0%,113,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.2630,TOR Low Decay Heat: Strategy Development & Produce MF EC NNNNN & Obtain Approval,15-Nov-24,02-Dec-24,12,23-Jun-25,08-Jul-25,12,12,0%,12,OGAH Alima
    W157LT,W157,HYB Security,W157.2540,Issue of SPPI File and submit to ONR V1,24-Jun-25,30-Jun-25,5,24-Jun-25,30-Jun-25,5,5,0%,383,OGAH Alima
    W157LT,W157,HYB Security,W157.1960,Draft SPORs for all changes to existing and new SPP requiring revised or new mitigation measures V1,24-Jun-25,21-Jul-25,20,24-Jun-25,21-Jul-25,20,20,0%,293,OGAH Alima
    W159LT,W159,TOR Security,W159.2020,Undertake Site assessment of revised Flask Transfer/Storage arrangements,25-Jun-25,22-Jul-25,20,25-Jun-25*,22-Jul-25,20,20,0%,346,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS20640,Produce Flask LTQRs,28-Nov-24,11-Dec-24,10,30-Jun-25,11-Jul-25,10,10,0%,0,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS22690,Approve Flask LTQRs (Reduced Duration),21-Nov-24,04-Dec-24,10,30-Jun-25,11-Jul-25,10,10,0%,7,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2090,HRA 2024 Installation R1,,30-Jun-25,0,,30-Jun-25,0,0,0%,1397,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.6320,TOR 2025 S13R2 - Go / No Go Decision,,30-Jun-25,0,,30-Jun-25,0,0,0%,1736,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.25420,HYA 2024  - Installation R1,,30-Jun-25,0,,30-Jun-25,0,0,0%,1397,OGAH Alima
 Subtotal,,,,,24-Oct-24,22-Jul-25,114,02-Jun-25,07-Nov-25,114,114,,1808,OGAH Alima
 01-Jul-25,,,,,,,,,,,,,,
    ER7580LT,W194,HPB DPCS Defueling Support,W194.2270,Thales Long Term Support Contract Q3 2025,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,509,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2280,Thales Long Term Support Contract Q3 2025,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,1268,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.2650,Argus Support Contract 2025 - Jul Q3,01-Jul-25,30-Sep-25,65,01-Jul-25*,30-Sep-25,65,65,0%,1268,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.2290,Thales Long Term Support Contract Q3 2025,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,1332,OGAH Alima
    ER7582LT,W196,HYA DPCS Defueling Support,W196.2610,Argus Support Contract - 2025 - Q3,01-Jul-25,30-Sep-25,65,01-Jul-25*,30-Sep-25,65,65,0%,1332,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1595,Worldgrid Software Modification Support (LAMPS) - Q3 2025,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,1585,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1590,Worldgrid System Engineering Support (SQEP) Q3 2025,01-Jul-25,30-Sep-25,65,01-Jul-25*,30-Sep-25,65,65,0%,1585,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1592,Worldgrid Long Term Support Contract Q3 2025,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,1585,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.1594,Thales POLARIS & AIC Support Contract Q3 2025,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,1585,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.1210,TOR Argus Support Contract Q3,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,1777,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.1245,TOR Thales Long Term Support Contract Q3 2025 Delivery,01-Jul-25,30-Sep-25,65,01-Jul-25,30-Sep-25,65,65,0%,1777,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.1245,HYB Thales Long Term Support Contract Q3 2025,02-Jan-25,02-Apr-25,65,01-Jul-25,30-Sep-25,65,65,0%,1778,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.6330,TOR 2025 S13R2 - Specification,01-Jul-25,19-Sep-25,58,01-Jul-25,19-Sep-25,58,58,0%,1736,OGAH Alima
    W526LT,W526,HYB DPCS Defueling Support,W526.3220,HYB 2025 Update LSR,01-Jul-25,07-Jul-25,5,01-Jul-25,07-Jul-25,5,5,0%,1901,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.8010,HNB PSR4 Head Doc: PSR4 Safety Case - Submitted to ONR,,24-Jun-25,0,,01-Jul-25,0,0,0%,1,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.6040,HNB PSR4 Head Doc: ONR Approval of Safety Case (Letter sent to initiate) EC 374897 <Enter Paper Title Here> ==> KDM,25-Jun-25,25-Jun-26,80,02-Jul-25,22-Oct-25,80,80,0%,1,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25140,TGN097 R2 - EDF Review,04-Jul-25,17-Jul-25,10,04-Jul-25,17-Jul-25,10,10,0%,1349,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.8310,>>>MIRROR OF INCOMING ENABLER (W198) - EC PDSC Approved (Station Approval),,22-Jan-25,0,,04-Jul-25*,0,0,0%,126,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.8300,>>>INCOMING ENABLER (W198) - EC PDSC Approved,,22-Jan-25,0,,04-Jul-25,0,0,0%,125,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25450,Issue Recommendations,08-Jul-25,08-Jul-25,1,08-Jul-25,08-Jul-25,1,1,0%,1360,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.2640,HYB Low Decay Heat: Mod Requested and EC Request Raised and Screened,03-Dec-24,18-Dec-24,12,09-Jul-25,24-Jul-25,12,12,0%,12,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.2640,TOR Low Decay Heat: Mod Requested and EC Request Raised and Screened,03-Dec-24,18-Dec-24,12,09-Jul-25,24-Jul-25,12,12,0%,12,OGAH Alima
    W158LT,W158,DNB Security,W158.A1022,All Scope Delivered,,09-Jul-25,0,,09-Jul-25,0,0,0%,142,OGAH Alima
    W158LT,W158,DNB Security,W158.A10501600,Project Closed,,09-Jul-25,0,,09-Jul-25,0,0,0%,142,OGAH Alima
    ER7579LT,W193,HNB DPCS Defueling Support,W193.25360,Decommission Reference Rig,16-Jul-25,27-Aug-25,30,11-Jul-25,21-Aug-25,30,30,0%,31,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A4630,All identified Spares Recovered & Remediation Works Complete,,04-Dec-24,0,,11-Jul-25,0,0,0%,7,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.M1040,Flask 11 - LTQR Approval,,04-Dec-24,0,,11-Jul-25,0,0,0%,7,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A2410,Handover of Life Time Records for all Flasks & Spares,05-Dec-24,18-Dec-24,10,14-Jul-25,25-Jul-25,10,10,0%,7,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS20650,Approve Flask LTQRs,12-Dec-24,07-Jan-25,10,14-Jul-25,25-Jul-25,10,10,0%,0,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A7280,Operational Handover with NDA and SL,03-Dec-24,02-Jan-25,20,15-Jul-25,11-Aug-25,20,20,0%,22,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25460,Recommendations Workshop,15-Jul-25,15-Jul-25,1,15-Jul-25,15-Jul-25,1,1,0%,1360,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25470,"LSR Update, Internal Review & Issue to EDF",16-Jul-25,29-Jul-25,10,16-Jul-25,29-Jul-25,10,10,0%,1360,OGAH Alima
    W157LT,W157,HYB Security,W157.10013,"Substantive D/SPPIF, SVAs and SPORs completion (awaiting final Safety Case Approval)",,21-Jul-25,0,,21-Jul-25,0,0,0%,368,OGAH Alima
    W157LT,W157,HYB Security,W157.2350,Issue SPORS V1,22-Jul-25,22-Jul-25,1,22-Jul-25,22-Jul-25,1,1,0%,362,OGAH Alima
    W157LT,W157,HYB Security,W157.2560,Optioneer potential revised or new mitigations,22-Jul-25,11-Aug-25,15,22-Jul-25,11-Aug-25,15,15,0%,293,OGAH Alima
    W157LT,W157,HYB Security,W157.3530,Review Prep for Defueling SPOR for Temporary And Permanent Mitigations,,22-Jul-25,0,,22-Jul-25,0,0,0%,367,OGAH Alima
    W157LT,W157,HYB Security,W157.3490,Review Prep for Defueling Revised SPOR for Temporary And Permanent Mitigations,,22-Jul-25,0,,22-Jul-25,0,0,0%,367,OGAH Alima
    W157LT,W157,HYB Security,W157.2360,>>> MIRROR INCOMING ENABLER W209 Review SPPI File Against ONR Approved Essential Defueling Safety Cases,,17-Feb-25,0,,22-Jul-25*,0,0,0%,231,OGAH Alima
    W157LT,W157,HYB Security,W157.3680,>>> INCOMING ENABLER W209 Review SPPI File Against ONR Approved Essential Defueling Safety Cases,,22-Jul-25,0,,22-Jul-25,0,0,0%,367,OGAH Alima
    W159LT,W159,TOR Security,W159.3680,>>> INCOMING ENABLER W213 Review SPPI File Against Approved Defuelling Essential Safety Cases,,22-Jul-25,0,,22-Jul-25,0,0,0%,387,OGAH Alima
    W157LT,W157,HYB Security,W157.2550,Review SPPI File V1 Aganist Approved Defuelling Safety case And submit To ONR,18-Feb-25,24-Feb-25,5,23-Jul-25,29-Jul-25,5,5,0%,232,OGAH Alima
    W157LT,W157,HYB Security,W157.2370,Review SPPI File Against Approved Essential Safety Cases,03-Jun-25,09-Jun-25,5,23-Jul-25,29-Jul-25,5,5,0%,231,OGAH Alima
    W157LT,W157,HYB Security,W157.2650,Update Site SRCL V1,23-Jul-25,29-Jul-25,5,23-Jul-25,29-Jul-25,5,5,0%,362,OGAH Alima
    W159LT,W159,TOR Security,W159.2040,Undertake Security Vulnerability Assessments of Off-site and On-site rail heads and potential storage areas,23-Jul-25,05-Aug-25,10,23-Jul-25,05-Aug-25,10,10,0%,346,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25620,DNB 2025 2.9 - Installation R1,24-Jul-25,06-Aug-25,10,24-Jul-25,06-Aug-25,10,10,0%,1594,OGAH Alima
    W156LT,W156,HYA Security,W156.3230,Review and Update SPORS,27-Jun-25,27-Jun-25,1,25-Jul-25,25-Jul-25,1,1,0%,583,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.2590,HYB Low Decay Heat: Produce draft NSRS (using BARRIER MODEL),19-Dec-24,06-Jan-25,10,25-Jul-25,07-Aug-25,10,10,0%,12,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.2590,TOR Low Decay Heat: Produce draft NSRS (using BARRIER MODEL),19-Dec-24,06-Jan-25,10,25-Jul-25,07-Aug-25,10,10,0%,12,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A4700,Handover of Life Time Records for all Flasks & Spares Complete,,18-Dec-24,0,,25-Jul-25,0,0,0%,7,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A6440,Final Acceptance of flasks by EDF (HOLD POINT - ONR MOD),19-Dec-24,27-Dec-24,5,28-Jul-25,01-Aug-25,5,5,0%,9,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS25000,Flask 9 - Flask Licensing Prepare Cat C Mod,08-Jan-25,14-Jan-25,5,28-Jul-25,01-Aug-25,5,5,0%,0,OGAH Alima
    W156LT,W156,HYA Security,W156.3240,Issue revised SPORS,30-Jun-25,30-Jun-25,1,28-Jul-25,28-Jul-25,1,1,0%,583,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A1440,Gate D PRC Paper Preparation [FEEDS TO SUMMARY SCHEDULE],19-Dec-24,03-Feb-25,10,29-Jul-25,11-Aug-25,10,10,0%,6,OGAH Alima
    W156LT,W156,HYA Security,W156.3250,Incoporate New Mitigations,01-Jul-25,01-Jul-25,1,29-Jul-25,29-Jul-25,1,1,0%,583,OGAH Alima
    W156LT,W156,HYA Security,W156.3300,Prep for Off Site Transport All Security Issues Considered & Addressed,,01-Jul-25,0,,29-Jul-25,0,0,0%,583,OGAH Alima
    W157LT,W157,HYB Security,W157.2410,Review SVAs (Final),10-Jun-25,16-Jun-25,5,30-Jul-25,05-Aug-25,5,5,0%,351,OGAH Alima
    W157LT,W157,HYB Security,W157.2440,Submit Final Defuelling SPPI File to ONR,10-Jun-25,10-Jun-25,1,30-Jul-25,30-Jul-25,1,1,0%,231,OGAH Alima
    W157LT,W157,HYB Security,W157.2490,Draft DNSSP And Sumit To ONR,10-Jun-25,16-Jun-25,5,30-Jul-25,05-Aug-25,5,5,0%,347,OGAH Alima
    ER7581LT,W195,HRA DPCS Defueling Support,W195.25480,EDF Review,30-Jul-25,12-Aug-25,10,30-Jul-25,12-Aug-25,10,10,0%,1360,OGAH Alima
    W157LT,W157,HYB Security,W157.3480,HYB Prep for Defueling Security Protected Plant Identification (SPPI) Submit to ONR,,10-Jun-25,0,,30-Jul-25,0,0,0%,361,OGAH Alima
    W157LT,W157,HYB Security,W157.3630,ONR acknowledgement of SPPI File Final,11-Jun-25,08-Jul-25,20,31-Jul-25,28-Aug-25,20,20,0%,231,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.3720,HYB Enhanced Defueling Rate:  PSA Modeling Verification,31-Jul-25,06-Aug-25,5,31-Jul-25,06-Aug-25,5,5,0%,11,OGAH Alima
    W731LT_UN,W731,TOR Enhanced Defueling Safety Cases,W731.1310,TOR Enhanced Defueling Rate:  PSA Modeling Verification,31-Jul-25,06-Aug-25,5,31-Jul-25,06-Aug-25,5,5,0%,11,OGAH Alima
 Subtotal,,,,,03-Dec-24,25-Jun-26,81,01-Jul-25,22-Oct-25,81,81,,1825,OGAH Alima
 01-Aug-25,,,,,,,,,,,,,,
    W529LT,W529,TOR DPCS Defueling Support,W529.7570,TGN097 R2 - Inspection,01-Aug-25,07-Aug-25,5,01-Aug-25,07-Aug-25,5,5,0%,1857,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A7250,Flasks Available for Collection,,27-Dec-24,0,,01-Aug-25,0,0,0%,9,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS25260,Flask 9 - Flask Licensing Verification Cat C Mod,15-Jan-25,23-Jan-25,5,04-Aug-25,12-Aug-25,7,7,0%,0,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.9620,Assessment of PSR3 Extension EC Requirement,,,0,04-Aug-25*,,0,0,0%,-248,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.9630,HNB PSR3 Extension EC: Review NSRS for Completeness,,,1,04-Aug-25,04-Aug-25,1,1,0%,-248,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9610,Assessment of PSR3 Extension EC Requirement,,,0,04-Aug-25*,,0,0,0%,-252,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9620,HPB PSR3 Extension EC: Review NSRS for Completeness,,,1,04-Aug-25,04-Aug-25,1,1,0%,-252,OGAH Alima
    ER7003LT,W160,HNB PSR4,W160.9640,HNB PSR3 Extension EC: Author Up-Rev of PSR3 Extension EC,,,10,05-Aug-25,18-Aug-25,10,10,0%,-248,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9630,HPB PSR3 Extension EC: Author Up-Rev of PSR3 Extension EC,,,10,05-Aug-25,18-Aug-25,10,10,0%,-252,OGAH Alima
    W157LT,W157,HYB Security,W157.2420,Review SPORs (Final),17-Jun-25,23-Jun-25,5,06-Aug-25,12-Aug-25,5,5,0%,351,OGAH Alima
    W159LT,W159,TOR Security,W159.1990,Undertake assessment of potential impacts on existing TSS/TSP in respect of increased Flask movements,06-Aug-25,19-Aug-25,10,06-Aug-25*,19-Aug-25,10,10,0%,346,OGAH Alima
    ER7743LT,W527,DNB DPCS Defueling Support,W527.25830,DNB 2025 2.9 - Installation R21,,06-Aug-25,0,,06-Aug-25,0,0,0%,1623,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A6210,Flask Collection from contractor / Delivery to Storage Location / Final Handover to EDF,30-Dec-24,02-Jan-25,3,07-Aug-25,11-Aug-25,3,3,0%,6,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A4430,Gate C-D Flask Storage - Cost Summary,30-Dec-24,02-May-25,24,07-Aug-25,04-Sep-25,20,20,0%,6,OGAH Alima
    W730LT_UN,W730,HYB Enhanced Defueling Safety Cases,W730.3730,HYB Enhanced Defueling Rate: PSA Modeling Technical Review,07-Aug-25,13-Aug-25,5,07-Aug-25,13-Aug-25,5,5,0%,11,OGAH Alima
    W731LT_UN,W731,TOR Enhanced Defueling Safety Cases,W731.1320,TOR Enhanced Defueling Rate: PSA Modeling Technical Review,07-Aug-25,13-Aug-25,5,07-Aug-25,13-Aug-25,5,5,0%,11,OGAH Alima
    W529LT,W529,TOR DPCS Defueling Support,W529.7580,"TGN097 R2 - Draft Report Produced, Internal Review and Issue to EDF",08-Aug-25,21-Aug-25,10,08-Aug-25,21-Aug-25,10,10,0%,1857,OGAH Alima
    W230LT,W230,HYB Enhanced Defueling Safety Case Strategy,W230.2650,HYB Low Decay Heat: Hold Case Conference / Optioneering Strategy Workshop as Appropriate,07-Jan-25,13-Jan-25,5,08-Aug-25,14-Aug-25,5,5,0%,12,OGAH Alima
    W234LT,W234,TOR Enhanced Defueling Safety Case Strategy,W234.2650,TOR Low Decay Heat: Hold Case Conference / Optioneering Strategy Workshop as Appropriate,07-Jan-25,13-Jan-25,5,08-Aug-25,14-Aug-25,5,5,0%,12,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A2370,WOLF Assumptions Reviewed,,03-Feb-25,0,,11-Aug-25,0,0,0%,21,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.1210,Flasks Delivered to Storage Location,,02-Jan-25,0,,11-Aug-25,0,0,0%,6,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.A1450,Internal L&T Review,04-Feb-25,30-Apr-25,1,12-Aug-25,02-Sep-25,15,15,0%,6,OGAH Alima
    W157LT,W157,HYB Security,W157.2710,"Review and Agree Security Changes and MSI Category (INA, SPB, NSC)",12-Aug-25,23-Sep-25,30,12-Aug-25,23-Sep-25,30,30,0%,323,OGAH Alima
    W157LT,W157,HYB Security,W157.2570,Complete MSI process,12-Aug-25,23-Sep-25,30,12-Aug-25,23-Sep-25,30,30,0%,293,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.8410,>>>MIRROR OF INCOMING ENABLER (W404) - Radwaste Technical Report,,07-Nov-24,0,,12-Aug-25*,0,0,0%,-54,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.8430,>>>MIRROR OF INCOMING ENABLER (W404) - P&S Technical Report,,11-Sep-24,0,,12-Aug-25*,0,0,0%,-54,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9260,PDSC - Radwaste Technical Report,,07-Nov-24,0,,12-Aug-25,0,0,0%,-54,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.9270,PDSC - P&S Technical Report,,11-Sep-24,0,,12-Aug-25,0,0,0%,-54,OGAH Alima
    W157LT,W157,HYB Security,W157.11,Issue of SPOR - SPPI File for Prep of Defueling,,22-Jul-25,0,,12-Aug-25,0,0,0%,352,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.8400,>>>INCOMING ENABLER (W404) - Radwaste Technical Report,,07-Nov-24,0,,12-Aug-25,0,0,0%,352,OGAH Alima
    ER7514LT,W161,HPB PSR4,W161.8420,>>>INCOMING ENABLER (W404) - P&S Technical Report,,11-Sep-24,0,,12-Aug-25,0,0,0%,352,OGAH Alima
    ER6360LT,W085,REGION 1 Further Flasks in Readiness,W085.DS25270,Flask 9 - Flask Licensing CO Review Cat C Mod,24-Jan-25,04-Feb-25,5,13-Aug-25,22-Aug-25,8,8,0%,0,OGAH Alima
    W157LT,W157,HYB Security,W157.2430,Update SRCL (Final),24-Jun-25,24-Jun-25,1,13-Aug-25,13-Aug-25,1,1,0%,351,OGAH Alima
